((1.0000000000000002, 1, 1), (1.0000000000000002, 3, 3))
((1.0, 4, 4), (1.0000000000000002, 3, 0))
((1.0, 3, 3), (1.0000000000000002, 0, 3))
((1.0, 3, 0), (1.0000000000000002, 0, 0))
((1.0, 2, 2), (1.0, 4, 4))
((1.0, 0, 3), (1.0, 2, 2))
((1.0, 0, 0), (1.0, 1, 1))
((0.0982095100668276, 3, 2), (0.098209510066827738, 3, 2))
((0.0982095100668276, 2, 3), (0.098209510066827738, 2, 3))
((0.0982095100668276, 2, 0), (0.098209510066827738, 2, 0))
((0.0982095100668276, 0, 2), (0.098209510066827738, 0, 2))
((0.09630687574952904, 4, 3), (0.096306875749529147, 4, 3))
((0.09630687574952904, 4, 0), (0.096306875749529147, 4, 0))
((0.09630687574952904, 3, 4), (0.096306875749529147, 3, 4))
((0.09630687574952904, 0, 4), (0.096306875749529147, 0, 4))
((0.06539778989239282, 4, 2), (0.065397789892392866, 4, 2))
((0.06539778989239282, 2, 4), (0.065397789892392866, 2, 4))
((0.06078044523576818, 3, 1), (0.060780445235768123, 3, 1))
((0.06078044523576818, 1, 3), (0.060780445235768123, 1, 3))
((0.06078044523576818, 1, 0), (0.060780445235768123, 1, 0))
((0.06078044523576818, 0, 1), (0.060780445235768123, 0, 1))
((0.04773377934860485, 4, 1), (0.047733779348604767, 4, 1))
((0.04773377934860485, 1, 4), (0.047733779348604767, 1, 4))
((0.04083249597914279, 2, 1), (0.040832495979142736, 2, 1))
((0.04083249597914279, 1, 2), (0.040832495979142736, 1, 2))
